date;symbol;interval;target_margin;p_ema;min_rsi;max_rsi;amount_invested;stop_loss_multiplier;pnl
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;46;68;100.0;3;92.08
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;46;68;100.0;1;92.25
2024-01-01 13:07:03;BTCUSDT;1h;2.0;50;30;68;100.0;1;92.64
2024-01-01 13:07:03;BTCUSDT;1h;2.0;75;30;68;100.0;1;92.64
2024-01-01 13:07:03;BTCUSDT;1h;2.0;100;30;68;100.0;1;92.64
2024-01-01 13:07:03;BTCUSDT;1h;2.0;125;30;68;100.0;1;92.64
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;44;68;100.0;3;92.89
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;46;68;100.0;1;93.07
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;48;68;100.0;1;93.49
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;56;68;100.0;1;93.51
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;54;68;100.0;1;93.51
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;52;68;100.0;1;93.51
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;50;68;100.0;1;93.51
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;48;68;100.0;1;93.51
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;56;68;100.0;2;93.56
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;46;68;100.0;1;93.62
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;44;68;100.0;1;93.73
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;60;68;100.0;2;93.76
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;58;68;100.0;2;93.76
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;46;68;100.0;2;93.79
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;44;68;100.0;2;94.1
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;52;68;100.0;3;94.19
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;50;68;100.0;3;94.19
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;48;68;100.0;3;94.19
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;52;68;100.0;1;94.22
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;48;68;100.0;1;94.32
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;56;68;100.0;1;94.34
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;54;68;100.0;1;94.34
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;52;68;100.0;1;94.34
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;50;68;100.0;1;94.34
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;48;68;100.0;1;94.34
2024-01-01 13:07:03;BTCUSDT;1h;2.5;75;36;68;100.0;1;94.38
2024-01-01 13:07:03;BTCUSDT;1h;2.5;100;36;68;100.0;1;94.38
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;36;68;100.0;1;94.38
2024-01-01 13:07:03;BTCUSDT;1h;2.5;75;34;68;100.0;1;94.38
2024-01-01 13:07:03;BTCUSDT;1h;2.5;100;34;68;100.0;1;94.38
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;34;68;100.0;1;94.38
2024-01-01 13:07:03;BTCUSDT;1h;2.5;50;32;68;100.0;1;94.38
2024-01-01 13:07:03;BTCUSDT;1h;2.5;75;32;68;100.0;1;94.38
2024-01-01 13:07:03;BTCUSDT;1h;2.5;100;32;68;100.0;1;94.38
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;32;68;100.0;1;94.38
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;56;68;100.0;2;94.39
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;42;68;100.0;3;94.43
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;54;68;100.0;2;94.46
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;44;68;100.0;1;94.56
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;54;68;100.0;2;94.59
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;60;68;100.0;2;94.6
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;58;68;100.0;2;94.6
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;46;68;100.0;2;94.62
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;50;68;100.0;1;94.63
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;46;68;100.0;2;94.7
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;46;68;100.0;1;94.73
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;44;68;100.0;3;94.73
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;60;68;100.0;1;94.93
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;58;68;100.0;1;94.93
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;52;68;100.0;2;94.93
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;50;68;100.0;2;94.93
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;48;68;100.0;2;94.93
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;44;68;100.0;2;94.94
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;54;68;100.0;1;94.97
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;56;68;100.0;1;95.02
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;54;68;100.0;1;95.03
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;46;68;100.0;3;95.04
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;56;68;100.0;3;95.12
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;52;68;100.0;1;95.12
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;54;68;100.0;3;95.14
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;46;68;100.0;3;95.19
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;60;68;100.0;1;95.22
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;58;68;100.0;1;95.22
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;44;68;100.0;1;95.29
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;60;68;100.0;3;95.33
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;58;68;100.0;3;95.33
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;50;68;100.0;1;95.47
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;48;68;100.0;1;95.47
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;40;68;100.0;3;95.5
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;46;68;100.0;1;95.58
2024-01-01 13:07:03;BTCUSDT;1h;1.5;125;56;68;100.0;1;95.64
2024-01-01 13:07:03;BTCUSDT;1h;1.5;125;54;68;100.0;1;95.64
2024-01-01 13:07:03;BTCUSDT;1h;1.5;125;52;68;100.0;1;95.64
2024-01-01 13:07:03;BTCUSDT;1h;1.5;125;50;68;100.0;1;95.64
2024-01-01 13:07:03;BTCUSDT;1h;1.5;125;48;68;100.0;1;95.64
2024-01-01 13:07:03;BTCUSDT;1h;2.0;150;30;68;100.0;1;95.74
2024-01-01 13:07:03;BTCUSDT;1h;2.0;175;30;68;100.0;1;95.74
2024-01-01 13:07:03;BTCUSDT;1h;2.0;200;30;68;100.0;1;95.74
2024-01-01 13:07:03;BTCUSDT;1h;2.0;225;30;68;100.0;1;95.74
2024-01-01 13:07:03;BTCUSDT;1h;2.0;250;30;68;100.0;1;95.74
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;60;68;100.0;1;95.77
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;58;68;100.0;1;95.77
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;52;68;100.0;2;95.77
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;50;68;100.0;2;95.77
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;48;68;100.0;2;95.77
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;56;68;100.0;1;95.93
2024-01-01 13:07:03;BTCUSDT;1h;1.5;125;46;68;100.0;1;95.95
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;44;68;100.0;2;95.97
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;42;68;100.0;1;95.97
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;44;68;100.0;3;96.02
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;42;68;100.0;3;96.02
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;40;68;100.0;3;96.02
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;56;68;100.0;2;96.05
2024-01-01 13:07:03;BTCUSDT;1h;4.0;75;60;68;100.0;1;96.06
2024-01-01 13:07:03;BTCUSDT;1h;4.0;75;58;68;100.0;1;96.06
2024-01-01 13:07:03;BTCUSDT;1h;4.0;75;56;68;100.0;1;96.06
2024-01-01 13:07:03;BTCUSDT;1h;4.0;75;54;68;100.0;1;96.06
2024-01-01 13:07:03;BTCUSDT;1h;4.0;75;52;68;100.0;1;96.06
2024-01-01 13:07:03;BTCUSDT;1h;4.0;75;50;68;100.0;1;96.06
2024-01-01 13:07:03;BTCUSDT;1h;4.0;75;48;68;100.0;1;96.06
2024-01-01 13:07:03;BTCUSDT;1h;4.0;75;46;68;100.0;1;96.06
2024-01-01 13:07:03;BTCUSDT;1h;4.0;75;44;68;100.0;1;96.06
2024-01-01 13:07:03;BTCUSDT;1h;4.0;75;42;68;100.0;1;96.06
2024-01-01 13:07:03;BTCUSDT;1h;4.0;75;40;68;100.0;1;96.06
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;56;68;100.0;2;96.09
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;54;68;100.0;2;96.09
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;46;68;100.0;2;96.11
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;54;68;100.0;2;96.12
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;42;68;100.0;2;96.12
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;60;68;100.0;1;96.14
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;58;68;100.0;1;96.14
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;54;68;100.0;1;96.16
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;44;68;100.0;2;96.2
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;60;68;100.0;2;96.26
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;58;68;100.0;2;96.26
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;52;68;100.0;1;96.31
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;42;68;100.0;3;96.34
2024-01-01 13:07:03;BTCUSDT;1h;3.5;75;60;68;100.0;1;96.5
2024-01-01 13:07:03;BTCUSDT;1h;3.5;75;58;68;100.0;1;96.5
2024-01-01 13:07:03;BTCUSDT;1h;3.5;75;56;68;100.0;1;96.5
2024-01-01 13:07:03;BTCUSDT;1h;3.5;75;54;68;100.0;1;96.5
2024-01-01 13:07:03;BTCUSDT;1h;3.5;75;52;68;100.0;1;96.5
2024-01-01 13:07:03;BTCUSDT;1h;3.5;75;50;68;100.0;1;96.5
2024-01-01 13:07:03;BTCUSDT;1h;3.5;75;48;68;100.0;1;96.5
2024-01-01 13:07:03;BTCUSDT;1h;3.5;75;46;68;100.0;1;96.5
2024-01-01 13:07:03;BTCUSDT;1h;3.5;75;44;68;100.0;1;96.5
2024-01-01 13:07:03;BTCUSDT;1h;3.5;75;42;68;100.0;1;96.5
2024-01-01 13:07:03;BTCUSDT;1h;3.5;75;40;68;100.0;1;96.5
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;46;68;100.0;2;96.56
2024-01-01 13:07:03;BTCUSDT;1h;2.0;75;44;68;100.0;1;96.56
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;50;68;100.0;1;96.67
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;60;68;100.0;1;96.68
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;58;68;100.0;1;96.68
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;56;68;100.0;1;96.68
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;54;68;100.0;1;96.68
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;52;68;100.0;1;96.68
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;50;68;100.0;1;96.68
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;48;68;100.0;1;96.68
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;46;68;100.0;1;96.75
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;42;68;100.0;1;96.83
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;44;68;100.0;1;96.85
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;42;68;100.0;2;96.97
2024-01-01 13:07:03;BTCUSDT;1h;3.0;75;60;68;100.0;1;97.08
2024-01-01 13:07:03;BTCUSDT;1h;3.0;75;58;68;100.0;1;97.08
2024-01-01 13:07:03;BTCUSDT;1h;3.0;75;56;68;100.0;1;97.08
2024-01-01 13:07:03;BTCUSDT;1h;3.0;75;54;68;100.0;1;97.08
2024-01-01 13:07:03;BTCUSDT;1h;3.0;75;52;68;100.0;1;97.08
2024-01-01 13:07:03;BTCUSDT;1h;3.0;75;50;68;100.0;1;97.08
2024-01-01 13:07:03;BTCUSDT;1h;3.0;75;48;68;100.0;1;97.08
2024-01-01 13:07:03;BTCUSDT;1h;2.5;50;36;68;100.0;1;97.08
2024-01-01 13:07:03;BTCUSDT;1h;2.5;50;34;68;100.0;1;97.08
2024-01-01 13:07:03;BTCUSDT;1h;1.5;125;60;68;100.0;1;97.09
2024-01-01 13:07:03;BTCUSDT;1h;1.5;125;58;68;100.0;1;97.09
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;42;68;100.0;2;97.09
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;60;68;100.0;4;97.11
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;58;68;100.0;4;97.11
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;42;68;100.0;4;97.11
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;40;68;100.0;4;97.11
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;56;68;100.0;1;97.13
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;60;68;100.0;4;97.24
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;58;68;100.0;4;97.24
2024-01-01 13:07:03;BTCUSDT;1h;3.0;75;46;68;100.0;1;97.31
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;60;68;100.0;1;97.34
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;58;68;100.0;1;97.34
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;54;68;100.0;3;97.35
2024-01-01 13:07:03;BTCUSDT;1h;2.5;150;36;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;175;36;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;200;36;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;225;36;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;250;36;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;150;34;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;175;34;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;200;34;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;225;34;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;250;34;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;150;32;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;175;32;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;200;32;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;225;32;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;2.5;250;32;68;100.0;1;97.36
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;52;68;100.0;3;97.37
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;50;68;100.0;3;97.37
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;48;68;100.0;3;97.37
2024-01-01 13:07:03;BTCUSDT;1h;2.0;100;44;68;100.0;1;97.42
2024-01-01 13:07:03;BTCUSDT;1h;2.0;50;60;68;100.0;1;97.44
2024-01-01 13:07:03;BTCUSDT;1h;2.0;50;58;68;100.0;1;97.44
2024-01-01 13:07:03;BTCUSDT;1h;2.0;50;56;68;100.0;1;97.44
2024-01-01 13:07:03;BTCUSDT;1h;2.0;50;54;68;100.0;1;97.44
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;52;68;100.0;3;97.44
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;50;68;100.0;3;97.44
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;48;68;100.0;3;97.44
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;52;68;100.0;2;97.45
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;50;68;100.0;2;97.45
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;48;68;100.0;2;97.45
2024-01-01 13:07:03;BTCUSDT;1h;2.5;50;30;68;100.0;1;97.45
2024-01-01 13:07:03;BTCUSDT;1h;2.5;75;30;68;100.0;1;97.45
2024-01-01 13:07:03;BTCUSDT;1h;2.5;100;30;68;100.0;1;97.45
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;30;68;100.0;1;97.45
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;40;68;100.0;2;97.48
2024-01-01 13:07:03;BTCUSDT;1h;1.5;125;44;68;100.0;1;97.5
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;60;68;100.0;2;97.55
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;58;68;100.0;2;97.55
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;52;68;100.0;2;97.57
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;50;68;100.0;2;97.57
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;48;68;100.0;2;97.57
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;42;68;100.0;1;97.58
2024-01-01 13:07:03;BTCUSDT;1h;2.5;75;60;68;100.0;1;97.6
2024-01-01 13:07:03;BTCUSDT;1h;2.5;75;58;68;100.0;1;97.6
2024-01-01 13:07:03;BTCUSDT;1h;2.5;75;56;68;100.0;1;97.6
2024-01-01 13:07:03;BTCUSDT;1h;2.5;75;54;68;100.0;1;97.6
2024-01-01 13:07:03;BTCUSDT;1h;2.5;75;52;68;100.0;1;97.6
2024-01-01 13:07:03;BTCUSDT;1h;2.5;75;50;68;100.0;1;97.6
2024-01-01 13:07:03;BTCUSDT;1h;2.5;75;48;68;100.0;1;97.6
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;40;68;100.0;3;97.67
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;46;68;100.0;2;97.71
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;44;68;100.0;1;97.71
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;44;68;100.0;2;97.81
2024-01-01 13:07:03;BTCUSDT;1h;2.5;75;46;68;100.0;1;97.83
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;42;68;100.0;1;97.88
2024-01-01 13:07:03;BTCUSDT;1h;2.0;125;44;68;100.0;1;97.93
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;56;68;100.0;2;97.98
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;54;68;100.0;2;97.98
2024-01-01 13:07:03;BTCUSDT;1h;2.0;50;52;68;100.0;1;97.98
2024-01-01 13:07:03;BTCUSDT;1h;2.0;50;50;68;100.0;1;97.98
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;42;68;100.0;2;98.06
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;44;68;100.0;2;98.09
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;42;68;100.0;2;98.09
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;40;68;100.0;2;98.09
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;56;68;100.0;4;98.1
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;46;68;100.0;4;98.11
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;44;68;100.0;4;98.11
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;42;68;100.0;4;98.13
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;30;68;100.0;1;98.18
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;30;68;100.0;1;98.18
2024-01-01 13:07:03;BTCUSDT;1h;1.5;100;30;68;100.0;1;98.18
2024-01-01 13:07:03;BTCUSDT;1h;1.5;125;30;68;100.0;1;98.18
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;56;68;100.0;4;98.23
2024-01-01 13:07:03;BTCUSDT;1h;2.0;75;36;68;100.0;1;98.23
2024-01-01 13:07:03;BTCUSDT;1h;2.0;100;36;68;100.0;1;98.23
2024-01-01 13:07:03;BTCUSDT;1h;2.0;125;36;68;100.0;1;98.23
2024-01-01 13:07:03;BTCUSDT;1h;2.0;75;34;68;100.0;1;98.23
2024-01-01 13:07:03;BTCUSDT;1h;2.0;100;34;68;100.0;1;98.23
2024-01-01 13:07:03;BTCUSDT;1h;2.0;125;34;68;100.0;1;98.23
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;46;68;100.0;4;98.24
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;44;68;100.0;4;98.24
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;46;68;100.0;2;98.27
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;54;68;100.0;4;98.3
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;56;68;100.0;3;98.33
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;40;68;100.0;2;98.34
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;54;68;100.0;3;98.42
2024-01-01 13:07:03;BTCUSDT;1h;2.5;100;60;68;100.0;1;98.47
2024-01-01 13:07:03;BTCUSDT;1h;2.5;100;58;68;100.0;1;98.47
2024-01-01 13:07:03;BTCUSDT;1h;2.5;100;56;68;100.0;1;98.47
2024-01-01 13:07:03;BTCUSDT;1h;2.5;100;54;68;100.0;1;98.47
2024-01-01 13:07:03;BTCUSDT;1h;2.5;100;52;68;100.0;1;98.47
2024-01-01 13:07:03;BTCUSDT;1h;2.5;100;50;68;100.0;1;98.47
2024-01-01 13:07:03;BTCUSDT;1h;2.5;100;48;68;100.0;1;98.47
2024-01-01 13:07:03;BTCUSDT;1h;2.0;50;48;68;100.0;1;98.5
2024-01-01 13:07:03;BTCUSDT;1h;2.0;50;46;68;100.0;1;98.5
2024-01-01 13:07:03;BTCUSDT;1h;2.0;75;60;68;100.0;1;98.52
2024-01-01 13:07:03;BTCUSDT;1h;2.0;75;58;68;100.0;1;98.52
2024-01-01 13:07:03;BTCUSDT;1h;2.0;75;56;68;100.0;1;98.52
2024-01-01 13:07:03;BTCUSDT;1h;2.0;75;54;68;100.0;1;98.52
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;60;68;100.0;1;98.53
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;58;68;100.0;1;98.53
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;56;68;100.0;1;98.53
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;54;68;100.0;1;98.53
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;52;68;100.0;1;98.53
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;50;68;100.0;1;98.53
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;48;68;100.0;1;98.53
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;46;68;100.0;1;98.53
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;60;68;100.0;3;98.54
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;58;68;100.0;3;98.54
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;44;68;100.0;2;98.6
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;60;68;100.0;6;98.67
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;58;68;100.0;6;98.67
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;56;68;100.0;6;98.67
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;54;68;100.0;6;98.67
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;52;68;100.0;6;98.67
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;50;68;100.0;6;98.67
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;48;68;100.0;6;98.67
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;46;68;100.0;6;98.67
2024-01-01 13:07:03;BTCUSDT;1h;1.0;75;44;68;100.0;6;98.67
2024-01-01 13:07:03;BTCUSDT;1h;1.5;75;40;68;100.0;2;98.67
2024-01-01 13:07:03;BTCUSDT;1h;2.5;100;46;68;100.0;1;98.7
2024-01-01 13:07:03;BTCUSDT;1h;1.5;50;42;68;100.0;2;98.71
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;42;68;100.0;1;98.75
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;60;68;100.0;2;98.78
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;58;68;100.0;2;98.78
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;56;68;100.0;2;98.78
2024-01-01 13:07:03;BTCUSDT;1h;1.0;50;54;68;100.0;2;98.78
2024-01-01 13:07:03;BTCUSDT;1h;1.0;100;42;68;100.0;4;98.86
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;44;68;100.0;1;98.91
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;60;68;100.0;4;98.95
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;58;68;100.0;4;98.95
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;44;68;100.0;1;99.04
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;42;68;100.0;1;99.04
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;40;68;100.0;1;99.04
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;54;68;100.0;3;99.06
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;52;68;100.0;3;99.07
2024-01-01 13:07:03;BTCUSDT;1h;2.0;75;52;68;100.0;1;99.07
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;50;68;100.0;3;99.07
2024-01-01 13:07:03;BTCUSDT;1h;2.0;75;50;68;100.0;1;99.07
2024-01-01 13:07:03;BTCUSDT;1h;1.0;125;48;68;100.0;3;99.07
2024-01-01 13:07:03;BTCUSDT;1h;2.0;50;44;68;100.0;1;99.07
2024-01-01 13:07:03;BTCUSDT;1h;2.5;75;38;68;100.0;1;99.07
2024-01-01 13:07:03;BTCUSDT;1h;2.5;100;38;68;100.0;1;99.07
2024-01-01 13:07:03;BTCUSDT;1h;2.5;125;38;68;100.0;1;99.07
2024-01-01 13:07:03;BTCUSDT;1h;3.5;100;60;68;100.0;1;99.08
2024-01-01 13:07:03;BTCUSDT;1h;3.5;100;58;68;100.0;1;99.08
2024-01-01 13:07:03;BTCUSDT;1h;3.5;100;56;68;100.0;1;99.08
